pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
KRAS_M-?-TP53_M,2,1,28.000000,28,1.429492e-02,
KRAS_M-?-STK11_N,2,1,14.000000,14,3.535561e-04,
KEAP1_M-?-KRAS_M,2,1,9.000000,9,9.981593e-02,
KEAP1_M-?-TP53_M,2,1,13.000000,13,1.819066e-02,
RB1_N-?-TP53_M,2,1,9.000000,9,1.527179e-02,
CDKN2A_M-?-TP53_M,2,1,13.000000,13,8.290404e-03,
NFE2L2_M-?-TP53_M,2,1,11.000000,11,8.171578e-02,
KEAP1_M-?-STK11_N,2,1,6.000000,6,2.482643e-02,
KEAP1_M-?-TP53_N,2,1,8.000000,8,3.407959e-02,
CDKN2A_N-?-TP53_M,2,1,12.000000,12,3.285812e-02,
KMT2D_M-?-TP53_M,2,1,10.000000,10,2.558900e-01,
PIK3CA_M-?-TP53_M,2,1,10.000000,10,5.019344e-01,
KMT2D_N-?-TP53_M,2,1,10.000000,10,1.830636e-01,
FANCM_M-?-TP53_M,2,1,5.000000,5,1.467645e-01,
NF1_M-?-TP53_M,2,1,10.000000,10,9.254808e-03,
KRAS_M-?-PIK3CA_M,2,1,6.000000,6,8.064615e-02,
KRAS_M-?-TP53_N,2,1,10.000000,10,6.761938e-02,
CREBBP_M-?-TP53_M,2,1,9.000000,9,2.930585e-01,
FAT1_M-?-TP53_M,2,1,8.000000,8,7.686141e-01,
MGA_N-?-TP53_M,2,1,7.000000,7,4.838768e-01,
ARID2_M-?-TP53_M,2,1,5.000000,5,4.213992e-02,
APC_M-?-TP53_M,2,1,7.000000,7,3.256579e-02,
GRIN2A_M-?-TP53_M,2,1,5.000000,5,2.468049e-01,
KRAS_M-?-NF1_M,2,1,7.000000,7,2.559005e-01,
ATM_M-?-KRAS_M,2,1,8.000000,8,3.962181e-01,
TP53_M->-UBR5_M,2,1,11.000000,11,2.552632e-06,
FAT1_N-?-TP53_M,2,1,10.000000,10,1.055417e-01,
CUX1_M-?-TP53_M,2,1,8.000000,8,1.681910e-01,
KRAS_M-?-STK11_M,2,1,9.000000,9,3.588519e-01,
SMARCA4_N-?-TP53_M,2,1,6.000000,6,3.697980e-01,
SMARCA4_M-?-TP53_M,2,1,5.000000,5,2.442219e-01,
TP53_M-?-ZFP36L1_M,2,1,5.000000,5,6.410256e-03,
CDKN2A_M-?-NFE2L2_M,2,1,6.000000,6,7.019943e-02,
KRAS_M-?-PTPRB_M,2,1,5.000000,5,1.506524e-01,
KEAP1_M-?-STK11_M,2,1,6.000000,6,3.778088e-01,
KRAS_M-?-MGA_N,2,1,6.000000,6,2.231209e-01,
RYR2_N-?-TP53_M,2,1,6.000000,6,1.225000e-01,
STK11_M-?-TP53_M,2,1,8.000000,8,8.623016e-01,
RASA1_M-?-TP53_M,2,1,6.000000,6,6.902761e-02,
CDKN2A_M-?-TP53_N,2,1,5.000000,5,8.296296e-02,
BRAF_M-?-TP53_M,2,1,7.000000,7,4.115226e-02,
SPEN_M-?-TP53_M,2,1,5.000000,5,5.548196e-01,
GRIN2A_M-?-KRAS_M,2,1,5.000000,5,2.261857e-01,
ARID1A_N-?-TP53_M,2,1,6.000000,6,1.277985e-01,
IKZF1_M-?-TP53_M,2,1,6.000000,6,3.958497e-01,
PTPRB_M-?-TP53_M,2,1,6.000000,6,2.777778e-01,
STK11_N-?-TP53_M,2,1,5.000000,5,3.394550e-01,
TP53_M->-CHD4_M,2,1,7.000000,7,1.275170e-03,
KEAP1_N-?-TP53_M,2,1,6.000000,6,4.516541e-01,
KRAS_M->-TP53_M,2,1,7.000000,7,5.040725e-01,
DOT1L_M-?-TP53_M,2,1,5.000000,5,2.116402e-01,
COL2A1_M-?-TP53_M,2,1,5.000000,5,1.156463e-01,
KMT2D_M-?-KRAS_M,2,1,5.000000,5,3.586940e-01,
TP53_M->-FAT1_M,2,1,6.000000,6,3.655259e-02,
NF1_N-?-TP53_M,2,1,6.000000,6,7.765926e-01,
KRAS_M-?-SETD2_N,2,1,5.000000,5,2.836364e-01,
ARHGAP35_N-?-TP53_M,2,1,5.000000,5,2.839506e-01,
TP53_M->-PIK3CA_M,2,1,5.000000,5,1.637914e-01,
TP53_M->-ASXL2_M,2,1,5.000000,5,1.182105e-02,
EGFR_M-?-TP53_M,2,1,5.000000,5,5.360195e-01,
TP53_M->-ATM_M,2,1,5.000000,5,9.080427e-03,
KRAS_M-?-SMARCA4_M,2,1,5.000000,5,9.208502e-01,
TP53_M->-CYLD_M,2,1,5.000000,5,2.691768e-03,
KRAS_M->-TET2_M,2,1,5.000000,5,1.445578e-03,
